 * SECURITY EVENT SAMPLE DATA
 * 
 * Purpose: Provides realistic but 100% synthetic security event data for testing.
 * 
 * IMPORTANT:
 * - All data is artificially generated
 * - No real individuals, organizations, or incidents are represented
 * - IPs use RFC 5737 TEST-NET ranges (192.0.2.0/24, 198.51.100.0/24, 203.0.113.0/24)
 * - Timestamps range from 2023-01-01 to present											
											
event_id	 event_time	 event_type	 event_subtype	 source_ip	 user_id	 target_resource	 details	 severity	 is_malicious	 correlation_id	
11	 '2023-01-17 13:50:35'	 'authentication'	 'success'	 '192.0.2.219'	 'user21'	 'Admin Panel'	 'System authentication event e28ae8'	 'high'	 TRUE	 'corr-2b93267b'	
12	 '2023-11-05 08:53:03'	 'authentication'	 'success'	 '10.122.47.233'	 'user69'	 'Admin Panel'	 'System authentication event 97aafd'	 'high'	 FALSE	 NULL	
13	 '2023-06-16 10:14:36'	 'authentication'	 'success'	 '10.5.141.13'	 'user61'	 'Firewall'	 'System authentication event f1e2a4'	 'low'	 FALSE	 NULL	
14	 '2023-09-10 11:46:30'	 'authentication'	 'success'	 '192.0.2.164'	 'user114'	 'Mobile App'	 'System authentication event 5f8cd3'	 'medium'	 FALSE	 NULL	
15	 '2023-03-01 10:02:34'	 'authentication'	 'success'	 '192.0.2.184'	 'user108'	 'Admin Panel'	 'System authentication event 68ae7a'	 'medium'	 FALSE	 NULL	
16	 '2023-01-29 00:54:49'	 'authentication'	 'success'	 '10.153.35.229'	 'user49'	 'Mobile App'	 'System authentication event 2aaf2d'	 'medium'	 FALSE	 NULL	
17	 '2023-11-12 12:07:08'	 'authentication'	 'success'	 '10.143.185.154'	 NULL	 'Firewall'	 'System authentication event bca11c'	 'high'	 FALSE	 NULL	
18	 '2023-06-30 15:36:50'	 'authentication'	 'success'	 '10.66.197.84'	 NULL	 'API Gateway'	 'System authentication event b34a8f'	 'medium'	 FALSE	 NULL	
19	 '2023-05-27 06:10:32'	 'authentication'	 'success'	 '192.0.2.116'	 'user132'	 'Admin Panel'	 'System authentication event e3dfe1'	 'low'	 FALSE	 'corr-3ff57fd3'	
20	 '2023-11-21 21:08:14'	 'authentication'	 'success'	 '10.184.152.187'	 'user49'	 'CRM'	 'System authentication event dc2e7b'	 'medium'	 FALSE	 NULL	
21	 '2023-04-11 15:04:45'	 'authentication'	 'success'	 '10.152.23.118'	 'user17'	 'API Gateway'	 'System authentication event 2d0448'	 'medium'	 FALSE	 NULL	
22	 '2023-12-16 16:23:20'	 'authentication'	 'success'	 '192.0.2.158'	 'user123'	 'Mobile App'	 'System authentication event fcc1e8'	 'high'	 FALSE	 NULL	
23	 '2023-05-20 09:10:25'	 'authentication'	 'success'	 '192.0.2.96'	 'user199'	 'Mobile App'	 'System authentication event c47f48'	 'high'	 FALSE	 'corr-0e7b07e9'	
24	 '2023-03-01 04:38:17'	 'authentication'	 'success'	 '192.0.2.121'	 'user90'	 'Database'	 'System authentication event 176511'	 'low'	 FALSE	 NULL	
25	 '2023-11-04 02:40:27'	 'authentication'	 'success'	 '192.0.2.58'	 'user13'	 'Database'	 'System authentication event cdc2d7'	 'high'	 TRUE	 NULL	
26	 '2023-07-22 10:22:48'	 'authentication'	 'success'	 '10.68.247.254'	 'user48'	 'CRM'	 'System authentication event b2c5c9'	 'low'	 FALSE	 NULL	
27	 '2023-09-30 03:35:55'	 'authentication'	 'success'	 '10.222.199.13'	 'user192'	 'CRM'	 'System authentication event ae3c6f'	 'low'	 FALSE	 NULL	
28	 '2023-05-19 03:11:14'	 'authentication'	 'success'	 '10.210.40.9'	 'user87'	 'Mobile App'	 'System authentication event 2cd09f'	 'low'	 FALSE	 NULL	
29	 '2023-01-07 22:52:03'	 'authentication'	 'success'	 '10.76.183.156'	 'user132'	 'CRM'	 'System authentication event 54f565'	 'medium'	 FALSE	 NULL	
30	 '2023-04-13 03:03:52'	 'authentication'	 'success'	 '192.0.2.241'	 'user63'	 'Firewall'	 'System authentication event 5dc7ae'	 'low'	 TRUE	 'corr-98d00fcf'	
31	 '2023-05-12 02:15:28'	 'authentication'	 'success'	 '10.59.131.184'	 'user27'	 'Database'	 'System authentication event 3f1c69'	 'high'	 FALSE	 NULL	
32	 '2023-02-03 17:09:44'	 'authentication'	 'success'	 '192.0.2.2'	 NULL	 'Database'	 'System authentication event aa1867'	 'medium'	 FALSE	 NULL	
33	 '2023-06-03 09:59:14'	 'authentication'	 'success'	 '10.8.68.165'	 'user174'	 'CRM'	 'System authentication event 59d893'	 'low'	 FALSE	 NULL	
34	 '2023-03-31 15:24:11'	 'authentication'	 'success'	 '10.167.19.192'	 'user70'	 'Mobile App'	 'System authentication event 42063f'	 'medium'	 FALSE	 NULL	
35	 '2023-02-14 08:05:39'	 'authentication'	 'success'	 '10.253.190.215'	 'user143'	 'API Gateway'	 'System authentication event 58d5f0'	 'low'	 FALSE	 'corr-e1bd6e59'	
36	 '2023-05-11 22:32:53'	 'authentication'	 'success'	 '10.179.139.4'	 'user198'	 'Firewall'	 'System authentication event 478899'	 'medium'	 FALSE	 NULL	
37	 '2023-10-24 18:51:50'	 'authentication'	 'success'	 '192.0.2.227'	 'user47'	 'CRM'	 'System authentication event 394469'	 'high'	 TRUE	 NULL	
38	 '2023-12-02 13:08:11'	 'authentication'	 'success'	 '10.123.116.185'	 'user45'	 'API Gateway'	 'System authentication event 44b289'	 'low'	 FALSE	 NULL	
39	 '2023-04-24 12:52:12'	 'authentication'	 'success'	 '10.210.2.161'	 NULL	 'Database'	 'System authentication event 1cdd9f'	 'high'	 FALSE	 'corr-7793bf61'	
40	 '2023-07-12 18:58:42'	 'authentication'	 'success'	 '10.89.87.166'	 'user76'	 'Firewall'	 'System authentication event 7a4348'	 'low'	 FALSE	 NULL	
41	 '2023-08-17 02:32:57'	 'authentication'	 'success'	 '10.54.247.141'	 'user52'	 'Mobile App'	 'System authentication event 1c5d6a'	 'high'	 FALSE	 NULL	
42	 '2023-02-18 15:53:05'	 'authentication'	 'success'	 '10.184.33.131'	 'user147'	 'Admin Panel'	 'System authentication event 806406'	 'medium'	 FALSE	 NULL	
43	 '2023-08-20 19:45:47'	 'authentication'	 'success'	 '192.0.2.158'	 NULL	 'API Gateway'	 'System authentication event 24a122'	 'high'	 FALSE	 NULL	
44	 '2023-02-13 02:05:24'	 'authentication'	 'success'	 '10.107.47.196'	 NULL	 'Firewall'	 'System authentication event 4bbdb7'	 'high'	 FALSE	 NULL	
45	 '2023-09-27 02:24:31'	 'authentication'	 'success'	 '192.0.2.235'	 'user62'	 'Firewall'	 'System authentication event 19fe34'	 'low'	 FALSE	 'corr-ba2571ec'	
46	 '2023-02-26 01:28:52'	 'authentication'	 'success'	 '192.0.2.135'	 'user87'	 'API Gateway'	 'System authentication event 262f1a'	 'medium'	 FALSE	 'corr-7382bd06'	
47	 '2023-11-24 07:16:54'	 'authentication'	 'success'	 '10.213.126.179'	 'user88'	 'Admin Panel'	 'System authentication event f48083'	 'low'	 FALSE	 'corr-3d877876'	
48	 '2023-06-02 01:14:05'	 'authentication'	 'success'	 '192.0.2.224'	 'user44'	 'API Gateway'	 'System authentication event 5e9a9d'	 'high'	 FALSE	 NULL	
49	 '2023-08-23 13:10:34'	 'authentication'	 'success'	 '10.7.49.223'	 'user18'	 'Firewall'	 'System authentication event 81f3f0'	 'low'	 FALSE	 NULL	
50	 '2023-08-20 06:56:19'	 'authentication'	 'success'	 '192.0.2.211'	 'user4'	 'Admin Panel'	 'System authentication event 80a2c9'	 'high'	 FALSE	 NULL	
51	 '2023-02-09 15:42:43'	 'authentication'	 'success'	 '10.58.166.180'	 'user173'	 'Admin Panel'	 'System authentication event 46dc2b'	 'low'	 FALSE	 NULL	
52	 '2023-10-01 07:36:58'	 'authentication'	 'success'	 '10.19.169.16'	 'user172'	 'Firewall'	 'System authentication event 934c5f'	 'high'	 FALSE	 NULL	
53	 '2023-02-18 23:21:06'	 'authentication'	 'success'	 '10.184.212.5'	 'user35'	 'CRM'	 'System authentication event c3c50c'	 'medium'	 FALSE	 'corr-4397685b'	
54	 '2023-12-02 21:31:05'	 'authentication'	 'success'	 '10.240.228.242'	 'user144'	 'Mobile App'	 'System authentication event ba2b30'	 'medium'	 FALSE	 NULL	
55	 '2023-10-18 09:32:42'	 'authentication'	 'success'	 '10.212.94.223'	 NULL	 'Mobile App'	 'System authentication event 1d57bd'	 'high'	 TRUE	 NULL	
56	 '2023-05-09 08:40:18'	 'authentication'	 'success'	 '10.83.160.208'	 NULL	 'Mobile App'	 'System authentication event 205a0d'	 'low'	 FALSE	 NULL	
57	 '2023-01-11 13:15:59'	 'authentication'	 'success'	 '10.109.123.102'	 'user105'	 'Mobile App'	 'System authentication event e98ab9'	 'high'	 FALSE	 NULL	
58	 '2023-08-16 05:36:56'	 'authentication'	 'success'	 '10.212.189.49'	 'user200'	 'Mobile App'	 'System authentication event 48dff8'	 'low'	 TRUE	 'corr-8ee0b705'	
59	 '2023-06-06 10:20:37'	 'authentication'	 'success'	 '10.137.85.99'	 'user13'	 'Admin Panel'	 'System authentication event 155687'	 'low'	 FALSE	 NULL	
60	 '2023-10-28 20:51:22'	 'authentication'	 'success'	 '192.0.2.254'	 NULL	 'Admin Panel'	 'System authentication event 3941cb'	 'medium'	 FALSE	 NULL	
61	 '2023-07-07 13:21:44'	 'authentication'	 'success'	 '10.76.228.215'	 'user161'	 'Mobile App'	 'System authentication event 4c95e8'	 'high'	 FALSE	 NULL	
62	 '2023-01-03 07:35:21'	 'authentication'	 'success'	 '192.0.2.154'	 'user15'	 'Firewall'	 'System authentication event ba6133'	 'low'	 FALSE	 NULL	
63	 '2023-08-20 07:53:13'	 'authentication'	 'success'	 '192.0.2.242'	 NULL	 'Database'	 'System authentication event 735082'	 'high'	 FALSE	 NULL	
64	 '2023-09-09 22:49:15'	 'authentication'	 'success'	 '10.235.185.98'	 NULL	 'Mobile App'	 'System authentication event 87ed6c'	 'high'	 FALSE	 'corr-bc69bf95'	
65	 '2023-08-04 01:40:43'	 'authentication'	 'success'	 '192.0.2.59'	 'user62'	 'API Gateway'	 'System authentication event 450ac7'	 'medium'	 FALSE	 NULL	
66	 '2023-05-17 22:11:30'	 'authentication'	 'success'	 '192.0.2.111'	 'user119'	 'Firewall'	 'System authentication event 9e9556'	 'low'	 FALSE	 NULL	
67	 '2023-03-11 10:07:59'	 'authentication'	 'success'	 '10.46.19.24'	 'user175'	 'API Gateway'	 'System authentication event fd864e'	 'low'	 FALSE	 NULL	
68	 '2023-12-11 21:15:06'	 'authentication'	 'success'	 '192.0.2.150'	 'user31'	 'CRM'	 'System authentication event 8901d0'	 'high'	 FALSE	 NULL	
69	 '2023-06-08 02:56:27'	 'authentication'	 'success'	 '192.0.2.16'	 NULL	 'CRM'	 'System authentication event e589f3'	 'medium'	 FALSE	 NULL	
70	 '2023-02-25 09:15:19'	 'authentication'	 'success'	 '10.59.80.23'	 'user23'	 'Firewall'	 'System authentication event a00e5d'	 'low'	 FALSE	 NULL	
71	 '2023-01-02 18:02:32'	 'authentication'	 'failed'	 '10.153.58.158'	 NULL	 'Firewall'	 'Failed login attempt 2'	 'low'	 TRUE	 NULL	
72	 '2023-07-28 05:01:59'	 'authentication'	 'failed'	 '192.0.2.73'	 NULL	 'Firewall'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
73	 '2023-08-22 09:18:48'	 'authentication'	 'failed'	 '10.159.187.192'	 'user75'	 'Mobile App'	 'Failed login attempt 3'	 'high'	 FALSE	 NULL	
74	 '2023-06-24 17:16:31'	 'authentication'	 'failed'	 '192.0.2.57'	 'user170'	 'Mobile App'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
75	 '2023-06-05 20:34:29'	 'authentication'	 'failed'	 '10.242.177.167'	 'user167'	 'API Gateway'	 'Failed login attempt 3'	 'medium'	 FALSE	 NULL	
76	 '2023-10-09 13:34:26'	 'authentication'	 'failed'	 '192.0.2.41'	 'user8'	 'Firewall'	 'Failed login attempt 5'	 'medium'	 FALSE	 NULL	
77	 '2023-12-09 00:21:58'	 'authentication'	 'failed'	 '10.80.246.1'	 'user80'	 'Database'	 'Failed login attempt 4'	 'high'	 FALSE	 NULL	
78	 '2023-03-30 09:52:39'	 'authentication'	 'failed'	 '192.0.2.96'	 'user83'	 'CRM'	 'Failed login attempt 1'	 'high'	 FALSE	 NULL	
79	 '2023-02-17 22:45:37'	 'authentication'	 'failed'	 '10.155.216.232'	 'user140'	 'Database'	 'Failed login attempt 3'	 'medium'	 TRUE	 NULL	
80	 '2023-11-26 02:21:24'	 'authentication'	 'failed'	 '192.0.2.79'	 NULL	 'Mobile App'	 'Failed login attempt 3'	 'low'	 FALSE	 'corr-3eddbab4'	
81	 '2023-12-17 17:05:42'	 'authentication'	 'failed'	 '10.68.250.138'	 'user171'	 'CRM'	 'Failed login attempt 3'	 'high'	 FALSE	 NULL	
82	 '2023-05-14 18:49:28'	 'authentication'	 'failed'	 '10.76.122.119'	 'user155'	 'Database'	 'Failed login attempt 2'	 'medium'	 FALSE	 'corr-a717b323'	
83	 '2023-11-12 14:01:45'	 'authentication'	 'failed'	 '10.234.202.43'	 NULL	 'Firewall'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
84	 '2023-03-05 21:34:23'	 'authentication'	 'failed'	 '192.0.2.27'	 'user66'	 'Admin Panel'	 'Failed login attempt 1'	 'medium'	 FALSE	 NULL	
85	 '2023-02-27 21:05:42'	 'authentication'	 'failed'	 '10.94.83.175'	 'user17'	 'Mobile App'	 'Failed login attempt 4'	 'medium'	 FALSE	 NULL	
86	 '2023-04-22 14:37:14'	 'authentication'	 'failed'	 '10.149.211.117'	 'user155'	 'Database'	 'Failed login attempt 5'	 'medium'	 FALSE	 NULL	
87	 '2023-08-21 21:18:51'	 'authentication'	 'failed'	 '192.0.2.29'	 NULL	 'API Gateway'	 'Failed login attempt 5'	 'low'	 FALSE	 NULL	
88	 '2023-06-10 21:02:59'	 'authentication'	 'failed'	 '10.39.126.60'	 NULL	 'CRM'	 'Failed login attempt 1'	 'high'	 FALSE	 NULL	
89	 '2023-01-27 07:23:01'	 'authentication'	 'failed'	 '10.232.159.117'	 'user80'	 'Database'	 'Failed login attempt 4'	 'medium'	 TRUE	 'corr-b721b79d'	
90	 '2023-10-26 13:20:13'	 'authentication'	 'failed'	 '10.186.193.129'	 'user3'	 'Admin Panel'	 'Failed login attempt 2'	 'medium'	 FALSE	 'corr-15b83c96'	
91	 '2023-06-23 21:59:49'	 'authentication'	 'failed'	 '10.161.157.98'	 'user173'	 'Admin Panel'	 'Failed login attempt 5'	 'high'	 TRUE	 NULL	
92	 '2023-04-05 13:11:33'	 'authentication'	 'failed'	 '10.154.168.206'	 'user114'	 'Database'	 'Failed login attempt 2'	 'medium'	 FALSE	 NULL	
93	 '2023-01-25 06:38:45'	 'authentication'	 'failed'	 '10.73.150.12'	 NULL	 'Firewall'	 'Failed login attempt 1'	 'low'	 FALSE	 NULL	
94	 '2023-10-24 16:11:15'	 'authentication'	 'failed'	 '192.0.2.167'	 'user176'	 'Firewall'	 'Failed login attempt 3'	 'low'	 FALSE	 NULL	
95	 '2023-06-25 21:01:02'	 'authentication'	 'failed'	 '10.87.154.81'	 NULL	 'Database'	 'Failed login attempt 5'	 'high'	 TRUE	 NULL	
96	 '2023-09-27 01:03:46'	 'authentication'	 'failed'	 '10.236.153.68'	 'user113'	 'Mobile App'	 'Failed login attempt 5'	 'medium'	 FALSE	 NULL	
97	 '2023-09-10 04:50:34'	 'authentication'	 'failed'	 '192.0.2.77'	 'user20'	 'Admin Panel'	 'Failed login attempt 2'	 'medium'	 TRUE	 NULL	
98	 '2023-10-07 12:48:44'	 'authentication'	 'failed'	 '10.183.177.139'	 NULL	 'CRM'	 'Failed login attempt 3'	 'medium'	 FALSE	 NULL	
99	 '2023-01-01 13:59:54'	 'authentication'	 'failed'	 '192.0.2.127'	 'user83'	 'Admin Panel'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
100	 '2023-08-01 16:03:29'	 'authentication'	 'failed'	 '10.57.35.72'	 'user86'	 'API Gateway'	 'Failed login attempt 4'	 'high'	 FALSE	 'corr-5743ea35'	
101	 '2023-06-10 16:15:17'	 'authentication'	 'failed'	 '192.0.2.36'	 'user30'	 'Database'	 'Failed login attempt 4'	 'high'	 FALSE	 NULL	
102	 '2023-02-24 00:57:57'	 'authentication'	 'failed'	 '10.93.89.117'	 'user133'	 'Admin Panel'	 'Failed login attempt 2'	 'medium'	 FALSE	 NULL	
103	 '2023-01-04 16:05:37'	 'authentication'	 'failed'	 '192.0.2.166'	 'user78'	 'CRM'	 'Failed login attempt 4'	 'low'	 FALSE	 NULL	
104	 '2023-10-05 07:06:41'	 'authentication'	 'failed'	 '10.101.163.223'	 'user117'	 'CRM'	 'Failed login attempt 5'	 'medium'	 TRUE	 NULL	
105	 '2023-09-04 03:57:47'	 'authentication'	 'failed'	 '10.210.187.41'	 'user200'	 'Database'	 'Failed login attempt 4'	 'medium'	 FALSE	 NULL	
106	 '2023-10-30 11:33:38'	 'authentication'	 'failed'	 '10.163.17.27'	 NULL	 'API Gateway'	 'Failed login attempt 3'	 'low'	 FALSE	 'corr-bcd35de5'	
107	 '2023-06-19 20:30:58'	 'authentication'	 'failed'	 '192.0.2.116'	 'user38'	 'Mobile App'	 'Failed login attempt 4'	 'high'	 FALSE	 NULL	
108	 '2023-08-18 23:40:35'	 'authentication'	 'failed'	 '10.195.109.98'	 'user103'	 'Database'	 'Failed login attempt 2'	 'medium'	 TRUE	 'corr-8ca8a4bc'	
109	 '2023-01-18 16:17:56'	 'authentication'	 'failed'	 '192.0.2.235'	 NULL	 'Mobile App'	 'Failed login attempt 4'	 'medium'	 FALSE	 NULL	
110	 '2023-02-10 23:38:52'	 'authentication'	 'failed'	 '10.136.219.19'	 'user161'	 'Admin Panel'	 'Failed login attempt 2'	 'high'	 TRUE	 'corr-f9063b0d'	
111	 '2023-01-26 04:29:24'	 'authentication'	 'failed'	 '192.0.2.136'	 'user188'	 'Admin Panel'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
112	 '2023-07-03 05:42:39'	 'authentication'	 'failed'	 '10.143.53.132'	 'user13'	 'Firewall'	 'Failed login attempt 1'	 'high'	 FALSE	 NULL	
113	 '2023-11-09 09:49:27'	 'authentication'	 'failed'	 '10.88.201.230'	 'user78'	 'Mobile App'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
114	 '2023-12-15 21:06:32'	 'authentication'	 'failed'	 '10.4.0.26'	 'user40'	 'Database'	 'Failed login attempt 3'	 'medium'	 FALSE	 'corr-29be4669'	
115	 '2023-07-05 06:23:10'	 'authentication'	 'failed'	 '192.0.2.196'	 'user164'	 'Admin Panel'	 'Failed login attempt 1'	 'medium'	 FALSE	 NULL	
116	 '2023-09-18 18:02:21'	 'authentication'	 'failed'	 '10.225.23.153'	 NULL	 'Admin Panel'	 'Failed login attempt 1'	 'medium'	 FALSE	 'corr-ea9a65fd'	
117	 '2023-04-26 08:54:55'	 'authentication'	 'failed'	 '192.0.2.27'	 'user192'	 'API Gateway'	 'Failed login attempt 1'	 'medium'	 FALSE	 'corr-166a2344'	
118	 '2023-10-10 10:59:38'	 'authentication'	 'failed'	 '192.0.2.175'	 'user116'	 'Database'	 'Failed login attempt 1'	 'low'	 FALSE	 NULL	
119	 '2023-01-01 06:59:06'	 'authentication'	 'failed'	 '10.30.170.223'	 'user77'	 'Firewall'	 'Failed login attempt 3'	 'low'	 TRUE	 'corr-f1c166a7'	
120	 '2023-01-19 19:35:49'	 'authentication'	 'failed'	 '192.0.2.136'	 'user85'	 'Mobile App'	 'Failed login attempt 1'	 'medium'	 FALSE	 'corr-2ca69fdd'	
121	 '2023-02-18 12:28:07'	 'authentication'	 'failed'	 '10.116.37.16'	 'user66'	 'Firewall'	 'Failed login attempt 2'	 'low'	 TRUE	 NULL	
122	 '2023-12-10 07:23:43'	 'authentication'	 'failed'	 '10.246.174.140'	 NULL	 'Firewall'	 'Failed login attempt 3'	 'high'	 TRUE	 'corr-a0d0f0ed'	
123	 '2023-10-13 04:52:42'	 'authentication'	 'failed'	 '10.147.49.32'	 'user126'	 'Admin Panel'	 'Failed login attempt 5'	 'low'	 FALSE	 'corr-c4c7ea10'	
124	 '2023-11-29 08:08:21'	 'authentication'	 'failed'	 '192.0.2.103'	 'user52'	 'Admin Panel'	 'Failed login attempt 3'	 'medium'	 FALSE	 'corr-7f263b64'	
125	 '2023-12-04 00:54:02'	 'authentication'	 'failed'	 '10.247.235.39'	 NULL	 'CRM'	 'Failed login attempt 5'	 'medium'	 FALSE	 NULL	
126	 '2023-08-05 07:30:01'	 'authentication'	 'failed'	 '10.99.172.170'	 'user129'	 'Admin Panel'	 'Failed login attempt 4'	 'high'	 TRUE	 NULL	
127	 '2023-02-12 01:21:38'	 'authentication'	 'failed'	 '192.0.2.65'	 'user95'	 'Database'	 'Failed login attempt 4'	 'medium'	 TRUE	 NULL	
128	 '2023-09-25 04:01:48'	 'authentication'	 'failed'	 '10.1.211.71'	 'user177'	 'CRM'	 'Failed login attempt 5'	 'low'	 FALSE	 NULL	
129	 '2023-05-26 21:22:47'	 'authentication'	 'failed'	 '10.167.177.2'	 NULL	 'API Gateway'	 'Failed login attempt 1'	 'low'	 FALSE	 NULL	
130	 '2023-07-30 07:41:01'	 'authentication'	 'failed'	 '10.196.37.163'	 'user16'	 'Mobile App'	 'Failed login attempt 2'	 'high'	 FALSE	 NULL	
131	 '2023-12-25 23:50:01'	 'authentication'	 'lockout'	 '10.173.36.115'	 'user93'	 'API Gateway'	 'System authentication event 3c7df2'	 'high'	 FALSE	 NULL	
132	 '2023-11-07 07:39:24'	 'authentication'	 'lockout'	 '192.0.2.54'	 'user138'	 'Database'	 'System authentication event fd5fcb'	 'high'	 TRUE	 NULL	
133	 '2023-03-17 17:25:37'	 'authentication'	 'lockout'	 '10.12.92.135'	 'user134'	 'API Gateway'	 'System authentication event 8fb36c'	 'high'	 FALSE	 'corr-1dea328b'	
134	 '2023-09-07 21:43:40'	 'authentication'	 'lockout'	 '10.90.88.12'	 'user133'	 'Admin Panel'	 'System authentication event 5e6e21'	 'high'	 FALSE	 NULL	
135	 '2023-05-25 06:37:24'	 'authentication'	 'lockout'	 '10.79.71.49'	 'user69'	 'API Gateway'	 'System authentication event 696015'	 'high'	 FALSE	 'corr-d5968411'	
136	 '2023-09-02 19:35:52'	 'authentication'	 'lockout'	 '10.225.76.218'	 'user24'	 'Admin Panel'	 'System authentication event a5e00a'	 'high'	 FALSE	 'corr-27f55198'	
137	 '2023-05-23 17:28:12'	 'authentication'	 'lockout'	 '10.28.244.146'	 'user162'	 'API Gateway'	 'System authentication event 7acc40'	 'high'	 FALSE	 NULL	
138	 '2023-02-23 15:01:13'	 'authentication'	 'lockout'	 '192.0.2.15'	 'user64'	 'Database'	 'System authentication event e01a6c'	 'high'	 FALSE	 'corr-920674b8'	
139	 '2023-04-17 00:19:03'	 'authentication'	 'lockout'	 '192.0.2.13'	 'user96'	 'Mobile App'	 'System authentication event 0b45fc'	 'high'	 FALSE	 'corr-11aa180b'	
140	 '2023-06-26 12:37:59'	 'authentication'	 'lockout'	 '192.0.2.251'	 'user73'	 'API Gateway'	 'System authentication event 71028a'	 'high'	 FALSE	 NULL	
141	 '2023-03-08 17:05:38'	 'authentication'	 'lockout'	 '10.240.229.229'	 'user83'	 'Database'	 'System authentication event 60f1f1'	 'high'	 FALSE	 NULL	
142	 '2023-05-01 10:17:24'	 'authentication'	 'lockout'	 '10.28.148.177'	 NULL	 'Admin Panel'	 'System authentication event 5f7c47'	 'high'	 FALSE	 NULL	
143	 '2023-12-27 02:06:58'	 'authentication'	 'lockout'	 '10.10.112.106'	 'user120'	 'Mobile App'	 'System authentication event a5ee13'	 'high'	 FALSE	 NULL	
144	 '2023-04-12 01:33:15'	 'authentication'	 'lockout'	 '192.0.2.253'	 'user93'	 'Firewall'	 'System authentication event 2e3d70'	 'high'	 FALSE	 NULL	
145	 '2023-11-11 12:57:47'	 'authentication'	 'lockout'	 '192.0.2.157'	 'user5'	 'CRM'	 'System authentication event d2ce53'	 'high'	 FALSE	 NULL	
146	 '2023-06-23 01:09:42'	 'authentication'	 'lockout'	 '10.175.91.85'	 NULL	 'Firewall'	 'System authentication event 50142d'	 'high'	 FALSE	 NULL	
147	 '2023-09-02 08:14:10'	 'authentication'	 'lockout'	 '10.236.141.101'	 'user51'	 'Mobile App'	 'System authentication event dfc887'	 'high'	 FALSE	 'corr-236310f2'	
148	 '2023-05-24 18:17:02'	 'authentication'	 'lockout'	 '10.154.251.233'	 NULL	 'CRM'	 'System authentication event fe526c'	 'high'	 FALSE	 NULL	
149	 '2023-12-29 16:20:07'	 'authentication'	 'lockout'	 '192.0.2.247'	 NULL	 'Mobile App'	 'System authentication event 577c83'	 'high'	 FALSE	 NULL	
150	 '2023-04-24 23:48:20'	 'authentication'	 'lockout'	 '10.54.64.122'	 'user68'	 'Mobile App'	 'System authentication event a16b50'	 'high'	 FALSE	 NULL	
151	 '2023-08-19 01:44:47'	 'threat'	 'sql_injection'	 '10.50.244.80'	 'user167'	 'Admin Panel'	 'Detected sql injection pattern'	 'critical'	 FALSE	 'corr-c03c9759'	
152	 '2023-05-23 08:55:03'	 'threat'	 'sql_injection'	 '10.31.52.162'	 'user51'	 'Firewall'	 'Detected sql injection pattern'	 'critical'	 FALSE	 NULL	
